Name,Docs URL,Number of pages,Example URL,Rendering apps,User journey,Email document type,Government document type,Content Purpose Subgroup,Content Purpose Supergroup
aaib_report,https://docs.publishing.service.gov.uk/document-types/aaib_report.html,11118,https://www.gov.uk/aaib-reports/aircraft-accident-report-aar-1-slash-2023-leonardo-aw169-g-vskp,government-frontend,thing,other,other,incidents,transparency
about,https://docs.publishing.service.gov.uk/document-types/about.html,373,https://www.gov.uk/government/organisations/disclosure-and-barring-service/about,government-frontend,thing,other,other,other,other
about_our_services,https://docs.publishing.service.gov.uk/document-types/about_our_services.html,56,https://www.gov.uk/government/organisations/hm-passport-office/about-our-services,government-frontend,thing,other,other,other,other
access_and_opening,https://docs.publishing.service.gov.uk/document-types/access_and_opening.html,16,https://www.gov.uk/government/organisations/companies-house/about/access-and-opening,government-frontend,thing,other,other,other,other
accessible_documents_policy,https://docs.publishing.service.gov.uk/document-types/accessible_documents_policy.html,103,https://www.gov.uk/government/organisations/home-office/about/accessible-documents-policy,government-frontend,thing,other,other,other,other
ai_assurance_portfolio_technique,https://docs.publishing.service.gov.uk/document-types/ai_assurance_portfolio_technique.html,14,https://www.gov.uk/ai-assurance-techniques/british-standards-institution-eu-ai-act-readiness-assessment-and-algorithmic-auditing,government-frontend,thing,other,other,other,other
ambassador_role,https://docs.publishing.service.gov.uk/document-types/ambassador_role.html,0,,"",thing,other,other,other,other
animal_disease_case,https://docs.publishing.service.gov.uk/document-types/animal_disease_case.html,187,https://www.gov.uk/animal-disease-cases-england/bird-flu-near-uttoxeter-east-staffordshire-staffordshire-aiv-2023-slash-48,government-frontend,thing,other,other,other,other
answer,https://docs.publishing.service.gov.uk/document-types/answer.html,767,https://www.gov.uk/personal-tax-account,government-frontend,thing,other,other,transactions,services
asylum_support_decision,https://docs.publishing.service.gov.uk/document-types/asylum_support_decision.html,99,https://www.gov.uk/asylum-support-tribunal-decisions/st-and-ot-v-home-secretary,government-frontend,thing,other,other,decisions,news_and_communications
authored_article,https://docs.publishing.service.gov.uk/document-types/authored_article.html,534,https://www.gov.uk/government/speeches/grading-exams-and-assessments-in-summer-2023-and-autumn-2022,government-frontend,thing,announcements,statements,speeches_and_statements,news_and_communications
board_member_role,https://docs.publishing.service.gov.uk/document-types/board_member_role.html,0,,"",thing,other,other,other,other
business_finance_support_scheme,https://docs.publishing.service.gov.uk/document-types/business_finance_support_scheme.html,121,https://www.gov.uk/business-finance-support/horizon-europe-funding,government-frontend,thing,other,other,business_support,guidance_and_regulation
calendar,https://docs.publishing.service.gov.uk/document-types/calendar.html,2,https://www.gov.uk/bank-holidays,frontend,thing,other,other,guidance,guidance_and_regulation
call_for_evidence,https://docs.publishing.service.gov.uk/document-types/call_for_evidence.html,0,,"",thing,publications,calls-for-evidence,other,other
call_for_evidence_outcome,https://docs.publishing.service.gov.uk/document-types/call_for_evidence_outcome.html,317,https://www.gov.uk/government/calls-for-evidence/review-of-enforcement-decision-making-at-the-financial-services-regulators-call-for-evidence,"",thing,publications,calls-for-evidence,calls_for_evidence,policy_and_engagement
case_study,https://docs.publishing.service.gov.uk/document-types/case_study.html,1966,https://www.gov.uk/government/case-studies/retirement-calculator-mccloud-legal-ruling,government-frontend,thing,other,other,news,news_and_communications
chief_professional_officer_role,https://docs.publishing.service.gov.uk/document-types/chief_professional_officer_role.html,0,,"",thing,other,other,other,other
chief_scientific_advisor_role,https://docs.publishing.service.gov.uk/document-types/chief_scientific_advisor_role.html,0,,"",thing,other,other,other,other
chief_scientific_officer_role,https://docs.publishing.service.gov.uk/document-types/chief_scientific_officer_role.html,0,,"",thing,other,other,other,other
closed_call_for_evidence,https://docs.publishing.service.gov.uk/document-types/closed_call_for_evidence.html,85,https://www.gov.uk/government/calls-for-evidence/youth-vaping-call-for-evidence,"",thing,publications,calls-for-evidence,calls_for_evidence,policy_and_engagement
closed_consultation,https://docs.publishing.service.gov.uk/document-types/closed_consultation.html,884,https://www.gov.uk/government/consultations/ending-the-sale-of-energy-drinks-to-children,government-frontend,thing,publications,consultations,consultations,policy_and_engagement
cma_case,https://docs.publishing.service.gov.uk/document-types/cma_case.html,2288,https://www.gov.uk/cma-cases/veterinary-services-market-for-pets-review,government-frontend,thing,other,other,decisions,news_and_communications
complaints_procedure,https://docs.publishing.service.gov.uk/document-types/complaints_procedure.html,126,https://www.gov.uk/government/organisations/department-for-work-pensions/about/complaints-procedure,government-frontend,thing,other,other,other,other
completed_transaction,https://docs.publishing.service.gov.uk/document-types/completed_transaction.html,0,,feedback,thing,other,other,transactions,services
consultation,https://docs.publishing.service.gov.uk/document-types/consultation.html,0,,"",thing,publications,consultations,other,other
consultation_outcome,https://docs.publishing.service.gov.uk/document-types/consultation_outcome.html,5369,https://www.gov.uk/government/consultations/design-of-the-energy-company-obligation-eco4-2022-2026,government-frontend,thing,publications,consultations,consultations,policy_and_engagement
contact,https://docs.publishing.service.gov.uk/document-types/contact.html,137,https://www.gov.uk/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,government-frontend,thing,other,other,other,other
coronavirus_landing_page,https://docs.publishing.service.gov.uk/document-types/coronavirus_landing_page.html,1,https://www.gov.uk/coronavirus,collections,thing,other,other,other,other
corporate_report,https://docs.publishing.service.gov.uk/document-types/corporate_report.html,13742,https://www.gov.uk/government/publications/environmental-improvement-plan,government-frontend,thing,publications,corporate-reports,transparency_data,transparency
correspondence,https://docs.publishing.service.gov.uk/document-types/correspondence.html,5994,https://www.gov.uk/government/publications/ben-wallaces-resignation-letter-and-the-prime-ministers-response-31-august-2023,government-frontend,thing,publications,correspondence,speeches_and_statements,news_and_communications
countryside_stewardship_grant,https://docs.publishing.service.gov.uk/document-types/countryside_stewardship_grant.html,259,https://www.gov.uk/countryside-stewardship-grants/sheep-netting-fg2,government-frontend,thing,other,other,business_support,guidance_and_regulation
decision,https://docs.publishing.service.gov.uk/document-types/decision.html,9364,https://www.gov.uk/government/publications/regulatory-judgements-and-regulatory-notices,government-frontend,thing,publications,decisions,decisions,news_and_communications
deputy_head_of_mission_role,https://docs.publishing.service.gov.uk/document-types/deputy_head_of_mission_role.html,0,,"",thing,other,other,other,other
detailed_guide,https://docs.publishing.service.gov.uk/document-types/detailed_guide.html,8499,https://www.gov.uk/guidance/cost-of-living-payment,government-frontend,thing,other,other,guidance,guidance_and_regulation
document_collection,https://docs.publishing.service.gov.uk/document-types/document_collection.html,5267,https://www.gov.uk/government/collections/nhs-covid-19-app,government-frontend,finding,other,other,other,other
drcf_digital_markets_research,https://docs.publishing.service.gov.uk/document-types/drcf_digital_markets_research.html,131,https://www.gov.uk/find-digital-market-research/new-forms-of-digital-money-2021-boe,government-frontend,thing,other,other,other,other
drug_safety_update,https://docs.publishing.service.gov.uk/document-types/drug_safety_update.html,795,https://www.gov.uk/drug-safety-update/fluoroquinolone-antibiotics-reminder-of-the-risk-of-disabling-and-potentially-long-lasting-or-irreversible-side-effects,government-frontend,thing,other,other,updates_and_alerts,news_and_communications
email_alert_signup,https://docs.publishing.service.gov.uk/document-types/email_alert_signup.html,0,,email-alert-frontend,thing,other,other,other,other
embassies_index,https://docs.publishing.service.gov.uk/document-types/embassies_index.html,0,,collections,thing,other,other,other,other
employment_appeal_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/employment_appeal_tribunal_decision.html,2012,https://www.gov.uk/employment-appeal-tribunal-decisions/mr-d-cox-v-1-adecco-uk-ltd-2-giant-professional-ltd-3-london-borough-of-croydon-2023-eat-105,government-frontend,thing,other,other,decisions,news_and_communications
employment_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/employment_tribunal_decision.html,103874,https://www.gov.uk/employment-tribunal-decisions/mr-c-harrison-v-luck-lust-liquor-and-grinds-3303493-slash-2022,government-frontend,thing,other,other,decisions,news_and_communications
equality_and_diversity,https://docs.publishing.service.gov.uk/document-types/equality_and_diversity.html,52,https://www.gov.uk/government/organisations/ministry-of-justice/about/equality-and-diversity,government-frontend,thing,other,other,other,other
esi_fund,https://docs.publishing.service.gov.uk/document-types/esi_fund.html,1415,https://www.gov.uk/european-structural-investment-funds/humber-50-retaining-retraining-recruiting-oc18s20p1737,government-frontend,thing,other,other,business_support,guidance_and_regulation
export_health_certificate,https://docs.publishing.service.gov.uk/document-types/export_health_certificate.html,2127,https://www.gov.uk/export-health-certificates/general-certificate-for-moving-goods-under-the-ni-retail-movement-scheme,government-frontend,thing,other,other,other,other
external_content,https://docs.publishing.service.gov.uk/document-types/external_content.html,575,https://www.gov.ukhttp://www.southbucks.gov.uk,"",thing,other,other,other,other
facet,https://docs.publishing.service.gov.uk/document-types/facet.html,0,,"",thing,other,other,other,other
fatality_notice,https://docs.publishing.service.gov.uk/document-types/fatality_notice.html,505,https://www.gov.uk/government/fatalities/sergeant-lee-andrew-houltram-royal-marines-killed-in-afghanistan-on-29-august,government-frontend,thing,announcements,fatality-notices,news,news_and_communications
field_of_operation,https://docs.publishing.service.gov.uk/document-types/field_of_operation.html,0,,government-frontend,thing,other,other,other,other
fields_of_operation,https://docs.publishing.service.gov.uk/document-types/fields_of_operation.html,0,,government-frontend,thing,other,other,other,other
finder,https://docs.publishing.service.gov.uk/document-types/finder.html,49,https://www.gov.uk/search/all,"finder-frontend, collections",finding,other,other,other,other
finder_email_signup,https://docs.publishing.service.gov.uk/document-types/finder_email_signup.html,0,,finder-frontend,thing,other,other,other,other
flood_and_coastal_erosion_risk_management_research_report,https://docs.publishing.service.gov.uk/document-types/flood_and_coastal_erosion_risk_management_research_report.html,390,https://www.gov.uk/flood-and-coastal-erosion-risk-management-research-reports/working-with-natural-processes-to-reduce-flood-risk,government-frontend,thing,other,other,other,other
foi_release,https://docs.publishing.service.gov.uk/document-types/foi_release.html,11656,https://www.gov.uk/government/publications/grade-and-salary-bands,government-frontend,thing,publications,foi-releases,freedom_of_information_releases,transparency
form,https://docs.publishing.service.gov.uk/document-types/form.html,5153,https://www.gov.uk/government/publications/application-for-a-vehicle-registration-certificate,government-frontend,thing,publications,forms,transactions,services
get_involved,https://docs.publishing.service.gov.uk/document-types/get_involved.html,0,,government-frontend,thing,other,other,other,other
gone,https://docs.publishing.service.gov.uk/document-types/gone.html,0,,government-frontend,thing,other,other,other,other
government,https://docs.publishing.service.gov.uk/document-types/government.html,0,,government-frontend,thing,other,other,other,other
government_response,https://docs.publishing.service.gov.uk/document-types/government_response.html,574,https://www.gov.uk/government/news/statement-following-transport-secretarys-meeting-with-aviation-industry-on-air-traffic-control-disruption,government-frontend,thing,announcements,government-responses,speeches_and_statements,news_and_communications
governor_role,https://docs.publishing.service.gov.uk/document-types/governor_role.html,0,,"",thing,other,other,other,other
guidance,https://docs.publishing.service.gov.uk/document-types/guidance.html,22948,https://www.gov.uk/government/publications/register-of-licensed-sponsors-workers,government-frontend,thing,publications,guidance,guidance,guidance_and_regulation
guide,https://docs.publishing.service.gov.uk/document-types/guide.html,838,https://www.gov.uk/log-in-register-hmrc-online-services,government-frontend,thing,other,other,transactions,services
help_page,https://docs.publishing.service.gov.uk/document-types/help_page.html,11,https://www.gov.uk/sign-in,"government-frontend, frontend",thing,other,other,other,other
high_commissioner_role,https://docs.publishing.service.gov.uk/document-types/high_commissioner_role.html,0,,"",thing,other,other,other,other
historic_appointment,https://docs.publishing.service.gov.uk/document-types/historic_appointment.html,0,,collections,thing,other,other,other,other
historic_appointments,https://docs.publishing.service.gov.uk/document-types/historic_appointments.html,0,,collections,thing,other,other,other,other
history,https://docs.publishing.service.gov.uk/document-types/history.html,6,https://www.gov.uk/government/history/10-downing-street,government-frontend,thing,other,other,other,other
hmrc_manual,https://docs.publishing.service.gov.uk/document-types/hmrc_manual.html,238,https://www.gov.uk/hmrc-internal-manuals/capital-gains-manual,government-frontend,thing,other,other,guidance,guidance_and_regulation
hmrc_manual_section,https://docs.publishing.service.gov.uk/document-types/hmrc_manual_section.html,82082,https://www.gov.uk/hmrc-internal-manuals/international-exchange-of-information/ieim402040,government-frontend,thing,other,other,other,other
homepage,https://docs.publishing.service.gov.uk/document-types/homepage.html,0,,frontend,finding,other,other,other,other
how_government_works,https://docs.publishing.service.gov.uk/document-types/how_government_works.html,0,,government-frontend,thing,other,other,other,other
html_publication,https://docs.publishing.service.gov.uk/document-types/html_publication.html,0,,government-frontend,thing,other,other,other,other
impact_assessment,https://docs.publishing.service.gov.uk/document-types/impact_assessment.html,1707,https://www.gov.uk/government/publications/hormone-replacement-therapy-prescription-prepayment-certificate-equality-impact-assessment,government-frontend,thing,publications,impact-assessments,policy,policy_and_engagement
independent_report,https://docs.publishing.service.gov.uk/document-types/independent_report.html,3602,https://www.gov.uk/government/publications/covid-19-autumn-2023-vaccination-programme-jcvi-update-7-july-2023,government-frontend,thing,publications,independent-reports,research,research_and_statistics
international_development_fund,https://docs.publishing.service.gov.uk/document-types/international_development_fund.html,61,https://www.gov.uk/international-development-funding/research-and-innovation-for-development-in-asean-rida,government-frontend,thing,other,other,business_support,guidance_and_regulation
international_treaty,https://docs.publishing.service.gov.uk/document-types/international_treaty.html,1361,https://www.gov.uk/government/publications/usa-tax-treaties,government-frontend,thing,publications,international-treaties,guidance,guidance_and_regulation
licence,https://docs.publishing.service.gov.uk/document-types/licence.html,0,,"",thing,other,other,transactions,services
licence_transaction,https://docs.publishing.service.gov.uk/document-types/licence_transaction.html,426,https://www.gov.uk/find-licences/tv-licence,frontend,thing,other,other,other,other
license_finder,https://docs.publishing.service.gov.uk/document-types/license_finder.html,0,,"",finding,other,other,other,other
local_transaction,https://docs.publishing.service.gov.uk/document-types/local_transaction.html,128,https://www.gov.uk/pay-council-tax,frontend,thing,other,other,transactions,services
maib_report,https://docs.publishing.service.gov.uk/document-types/maib_report.html,1021,https://www.gov.uk/maib-reports/collision-between-cargo-vessel-scot-carrier-and-split-hopper-barge-karin-hoej-with-loss-of-2-lives,government-frontend,thing,other,other,incidents,transparency
mainstream_browse_page,https://docs.publishing.service.gov.uk/document-types/mainstream_browse_page.html,155,https://www.gov.uk/browse/visas-immigration,collections,finding,other,other,other,other
manual,https://docs.publishing.service.gov.uk/document-types/manual.html,160,https://www.gov.uk/guidance/immigration-rules,"government-frontend, manuals-frontend",thing,other,other,guidance,guidance_and_regulation
manual_section,https://docs.publishing.service.gov.uk/document-types/manual_section.html,2875,https://www.gov.uk/guidance/the-highway-code/traffic-signs,"government-frontend, manuals-frontend",thing,other,other,guidance,guidance_and_regulation
